Keyword,Title,Company,Location,Job Description,Salary,Link
인공지능,제이씨현시스템(주) AI연구소 AI솔루션 개발자 모집,제이씨현시스템㈜,서울전체경력무관대졸↑정규직,"AI(인공지능),딥러닝,Python,머신러닝,솔루션외수정일 24/11/18",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49308082&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=3ff5e2b0-41ff-4a34-9a77-c24dce24a977
인공지능,[피플앤드테크놀러지] AI연구소 연구원 채용,(주)피플앤드테크놀러지,서울강남구신입·경력학력무관정규직,"AI(인공지능),AI(인공지능),딥러닝,Python,연구원외수정일 24/11/14",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49265197&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=3ff5e2b0-41ff-4a34-9a77-c24dce24a977
인공지능,AI연구소 AI기반연구팀 팀장(경력),(주)아이스크림아트,서울강남구경력7년↑대졸↑정규직,"AI(인공지능),AI(인공지능),연구원,R&D,솔루션외수정일 24/11/28",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490921&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=3ff5e2b0-41ff-4a34-9a77-c24dce24a977
인공지능,연구소 빅데이터분석/AI솔루션개발자/Java 개발자 모집,㈜이씨마이너,"서울강남구경력무관대졸↑정규직3,500 만원","네트워크,CSS,Java,Javascript,RestAPI외수정일 24/11/18",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49420870&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=3ff5e2b0-41ff-4a34-9a77-c24dce24a977
인공지능,서울대학교 AI연구원 서울 AI 허브(2명),서울대학교 AI연구원,서울서초구신입·경력학력무관계약직,"시설관리,회계,감사,재무,4대보험외수정일 24/11/28",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49484472&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=3ff5e2b0-41ff-4a34-9a77-c24dce24a977
인공지능,[LG AI연구원/마곡/자체계약직] 인사지원 사무보조 모집,(주)맨파워그룹코리아,"서울전체경력무관고졸↑계약직3,200 만원","사무보조,급여(Payroll),복리후생,실적관리,인력관리외등록일 24/11/13",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49390374&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=3ff5e2b0-41ff-4a34-9a77-c24dce24a977
인공지능,제이씨현시스템(주) AI연구소장 채용,제이씨현시스템㈜,서울전체경력대졸↑정규직,"AI(인공지능),딥러닝,Python,머신러닝,솔루션외등록일 24/11/18",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49418832&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=a45c336d-96a9-45cc-8609-21b87f76a3f6
인공지능,AI연구원 (Computer Vision AI),(주)딥노이드,서울전체신입·경력석사↑정규직,"AI(인공지능),딥러닝,알고리즘,Python,머신러닝외등록일 24/11/14",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49402678&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=a45c336d-96a9-45cc-8609-21b87f76a3f6
인공지능,[의료AI기업] 영상기반 AI 연구원 / 뇌공학 연구원 모집,뉴로핏(주),서울강남구신입·경력석사↑정규직,"AI(인공지능),AI(인공지능),딥러닝,알고리즘,Python외등록일 24/11/29",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49492971&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=a45c336d-96a9-45cc-8609-21b87f76a3f6
인공지능,[위즈베라/AI] AI 연구소 경력 연구원 및 팀장 채용,(주)위즈베라,서울성동구경력 1~4년대졸↑정규직,"AI(인공지능),Python,머신러닝,클라우드,모델링외등록일 24/11/06",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49348498&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=a45c336d-96a9-45cc-8609-21b87f76a3f6
인공지능,[AI기술연구소] AI개발 엔지니어(신입~경력),코가로보틱스(주),서울성동구경력무관대졸↑정규직,"AI(인공지능),딥러닝,Python,C++,머신러닝외수정일 24/10/14",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49185937&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=a45c336d-96a9-45cc-8609-21b87f76a3f6
인공지능,"AI챗봇 선두기업, 전문연구요원(병역특례) 채용(AI개발/연구)",(주)메이크봇,서울구로구경력무관초대졸↑정규직·계약직,"AI(인공지능),딥러닝,Python,머신러닝,백엔드/서버개발외수정일 24/11/08",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49338559&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=a45c336d-96a9-45cc-8609-21b87f76a3f6
인공지능,(전문연구요원 가능) AI 최적화 Researcher 채용공고,(주)에너자이,서울강남구경력무관대졸↑정규직·전문연구요원,"AI(인공지능),딥러닝,솔루션,C언어,Pytorch외등록일 24/11/20",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49440541&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=a45c336d-96a9-45cc-8609-21b87f76a3f6
인공지능,[AI Solution개발팀] AI연구소 영상보안 응용SW개발 인력모집,(주)인텔리빅스,서울서초구경력무관초대졸↑정규직,"AI(인공지능),딥러닝,알고리즘,C++,백엔드/서버개발외등록일 24/10/15",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49201346&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=a45c336d-96a9-45cc-8609-21b87f76a3f6
인공지능,[엔코아] 기업부설연구소 AI Hub 팀의 개발 인력 채용,(주)엔코아,서울마포구경력 1~3년학력무관정규직,"AI(인공지능),딥러닝,알고리즘,Python,머신러닝외수정일 24/11/26",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468661&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=a45c336d-96a9-45cc-8609-21b87f76a3f6
인공지능,AI연구소 AI기반연구팀 팀원(경력),(주)아이스크림아트,서울강남구경력 5~7년대졸↑정규직,"AI(인공지능),AI(인공지능),연구원,R&D,솔루션외수정일 24/11/28",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490935&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=a45c336d-96a9-45cc-8609-21b87f76a3f6
인공지능,"멀티모달 AI 엔지니어 채용 (병역특례, 전문연구요원 지원 가능)",(주)로민,서울서초구경력2년↑대졸↑정규직,"AI(인공지능),딥러닝,알고리즘,Python,머신러닝외등록일 24/11/11",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49380154&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=a45c336d-96a9-45cc-8609-21b87f76a3f6
인공지능,[생성형 AI] 연구과제 수행 기업부설연구소 연구원 모집,(주)페이먼트인앱,서울동작구경력무관대졸↑정규직·계약직,"AI(인공지능),딥러닝,머신러닝,빅데이터,데이터마이닝외등록일 24/11/22",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49452194&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=a45c336d-96a9-45cc-8609-21b87f76a3f6
인공지능,"AI 암진단 개발 (서울, 전문연구요원)",브이픽스메디칼,서울동대문구경력무관대졸↑정규직·전문연구요원,"AI(인공지능),알고리즘,Python,연구원,R&D외등록일 24/10/22",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49244116&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=a45c336d-96a9-45cc-8609-21b87f76a3f6
인공지능,[AI 몰입연구소] 서비스 기획자 채용 (5년 이상),(주)유컴패니온그룹,서울강남구경력5년↑학력무관정규직,"딥러닝,머신러닝,솔루션,빅데이터,데이터분석가외수정일 24/11/13",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49196329&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=b29b91fc-2116-41e2-ac4f-0cf8c13daa4c
인공지능,"AI Engineer (전문연구요원 가능, 석사 이상)",(주)라온데이터,서울전체신입·경력석사↑정규직,"딥러닝,Python,머신러닝,빅데이터,데이터분석가외등록일 24/11/11",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49376957&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=b29b91fc-2116-41e2-ac4f-0cf8c13daa4c
인공지능,[Global 솔루션] AI연구소 영상보안 응용SW개발 인력모집,(주)인텔리빅스,서울서초구신입·경력초대졸↑정규직,"딥러닝,솔루션,S/W,보안관제,네트워크외수정일 24/11/25",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49460398&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=b29b91fc-2116-41e2-ac4f-0cf8c13daa4c
인공지능,SW개발(AI파트) 초음파 진단기 개발 임상 연구원 경력 채용,알피니언메디칼시스템,서울전체경력 8~18년대졸↑정규직,"연구원,방사선사,초음파사,CRA(임상연구원),CRM(임상연구전문가)외수정일 24/11/04",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49325601&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=b29b91fc-2116-41e2-ac4f-0cf8c13daa4c
인공지능,[AI 세금신고 1위 SSEM] SSEM 세금 이론 연구 담당자,(주)널리소프트,서울영등포구경력무관학력무관정규직,"알고리즘,R&D,핀테크,경리,세무사외수정일 24/10/21",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49180927&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=b29b91fc-2116-41e2-ac4f-0cf8c13daa4c
